171 # shot/geophone points		
#x	y	
72	67	13.2
72	68	11.5
72	69	9.5
72	70	7.2
72	71	3.1
72	73	3.3
72	74	7.3
72	75	10.2
72	76	12.6
72	77	14.4
72	78	16
72	80	17.8
72	81	18.9
72	82	19.7
72	83	20.9
72	84	21.6
72	85	23.4
79	59	27.7
79	60	28.2
79	61	26.7
79	62	26.5
79	63	25.6
79	64	24.7
79	66	23.2
79	67	23.2
79	68	22.3
79	69	20.9
79	70	19.8
79	71	17.9
79	73	16.3
79	74	14.4
79	75	12.5
79	76	10.5
79	77	6.3
79	78	4.1
79	80	4
79	81	6.4
79	82	8.5
79	83	11.4
79	84	13.6
79	85	15.5
86	73	23.4
86	74	22.9
86	75	22.1
86	76	21.2
86	77	19.1
86	78	17.4
86	80	14.4
86	81	12.7
86	82	10.8
86	83	8.6
86	84	6.8
86	85	3.4
86	87	4.5
86	88	7.3
86	89	10.2
86	90	12
86	91	13.7
86	92	15
86	94	15.8
86	95	17.6
86	96	18.8
86	97	19.9
86	98	20.1
86	99	21.3
93	73	26.9
93	74	26.4
93	75	26.5
93	76	25.6
93	77	24.3
93	78	23.4
93	80	21.5
93	81	20.2
93	82	19.2
93	83	18.2
93	84	17.7
93	85	16.4
93	87	15.1
93	88	13
93	89	11.5
93	90	9
93	91	6.7
93	92	3.9
93	94	4.2
93	95	8
93	96	9.9
93	97	11.5
93	98	12.5
93	99	14
100	87	23.824
100	88	21.83
100	89	21.167
100	90	20.298
100	91	18.629
100	92	17.329
100	94	16.39
100	95	14.401
100	96	12.669
100	97	11.231
100	98	8.805
100	99	3.227
100	101	3.227
100	102	7.55
100	103	9.992
100	104	11.932
100	105	13.375
100	106	14.361
100	108	16.301
100	109	18.341
100	110	18.918
100	111	17.186
100	112	19.254
100	113	20.376
107	87	16.934
107	88	14.912
107	89	13.786
107	90	11.343
107	91	9.681
107	92	3.227
107	94	3.227
107	95	9.215
107	96	11.363
107	97	13.806
107	98	15.26
107	99	15.926
107	101	17.793
107	102	17.318
107	103	19.055
107	104	19.991
107	105	20.526
107	106	21.011
107	108	22.346
107	109	23.749
107	110	23.602
107	111	21.87
107	112	23.939
107	113	25.06
114	101	20.344
114	102	18.06
114	103	17.538
114	104	16.816
114	105	15.642
114	106	14.336
114	108	11.848
114	109	11.642
114	110	10.21
114	111	8.285
114	112	7.329
114	113	2.618
114	115	2.618
114	116	7.252
114	117	9.184
114	118	10.238
114	119	11.254
114	120	13.807
114	122	14.738
114	123	15.899
114	124	15.941
114	125	17.262
114	126	18.74
114	127	20.52
121	101	24.728
121	102	22.444
121	103	21.922
121	104	21.2
121	105	20.754
121	106	18.771
121	108	18.557
121	109	18.662
121	110	18.025
121	111	15.583
121	112	16.129
121	113	14.882
121	115	13.556
121	116	11.764
121	117	10.837
121	118	9.032
121	119	7.189
121	120	2.618
121	122	2.618
121	123	7.546
121	124	8.387
121	125	10.319
121	126	11.749
121	127	12.612
128	115	20.004
128	116	19.512
128	117	19.316
128	118	17.225
128	119	15.135
128	120	14.553
128	122	12.921
128	123	10.574
128	124	8.733
128	125	6.953
128	126	5.699
128	127	3.509
128	129	3.577
128	130	5.698
128	131	8.182
128	132	10.317
128	133	12.802
128	134	15.013
128	136	16.145
128	137	18.199
128	138	20.138
128	139	20.425
128	140	21.089
128	141	21.497
135	115	26.24
135	116	25.748
135	117	26.05
135	118	24.971
135	119	23.14
135	120	23.181
135	122	22.851
135	123	21.648
135	124	21.065
135	125	19.806
135	126	18.551
135	127	16.361
135	129	14.797
135	130	13.653
135	131	12.872
135	132	11.742
135	133	10.962
135	134	3.665
135	136	3.665
135	137	10.995
135	138	13.401
135	139	14.6
135	140	14.725
135	141	17.333
142	129	20.093
142	130	19.437
142	131	19.219
142	132	18.275
142	133	17.964
142	134	16.599
142	136	15.583
142	137	14.188
142	138	12.622
142	139	10.33
142	140	6.198
142	141	2.066
142	143	2.066
142	144	6.198
142	145	9.759
142	146	10.749
142	147	12.002
142	148	14.363
142	151	17.024
142	152	18.306
142	154	20.409
142	155	20.499
149	129	23.019
149	130	22.362
149	131	22.343
149	132	21.646
149	133	21.484
149	134	21.05
149	136	20.862
149	137	19.894
149	138	19.132
149	139	18.267
149	140	16.943
149	141	16.421
149	143	15.351
149	144	13.028
149	145	10.598
149	146	8.518
149	147	6.198
149	148	2.066
149	151	6.198
149	152	8.397
149	154	11.984
149	155	13.977
156	143	29.662
156	144	29.642
156	145	29.139
156	146	28.267
156	147	25.036
156	148	24.538
156	150	23.011
156	151	22.356
156	152	21.564
156	154	20.69
156	155	19.553
156	157	19.045
156	158	18.926
156	159	18.672
156	160	17.568
156	161	16.751
156	162	16.159
156	164	13.516
156	165	12.281
156	166	10.617
156	167	10.271
156	168	6.844
156	169	2.371
163	143	26.906
163	144	26.886
163	146	25.51
163	147	22.279
163	148	21.781
163	150	20.255
163	151	19.6
163	152	18.807
163	154	17.933
163	155	16.559
163	157	14.733
163	158	14.225
163	159	12.776
163	160	10.745
163	161	7.114
163	162	2.371
163	164	2.371
